Class,Height,MTSD,GTSRB
0,600,regulatory--stop--g1,14
1,750,regulatory--yield--g1,13
2,750,,
3,600,regulatory--one-way-left--g2,
3,600,regulatory--one-way-right--g2,
4,600,regulatory--keep-left--g2,
5,600,,
6,750,regulatory--no-entry--g1,17
7,600,regulatory--no-u-turn--g3,
8,600,regulatory--no-left-turn-g1,
9,600,regulatory--no-right-turn--g2,
10,600,regulatory--go-straight--g3,
11,600,,
12,600,regulatory--turn-left--g2,
13,600,regulatory--turn-right--g3,
14,800,,
15,600,,
16,600,regulatory--maximum-speed-limit-10--g1,
17,600,regulatory--maximum-speed-limit-20--g1,0
18,600,regulatory--maximum-speed-limit-25--g1,
19,600,regulatory--maximum-speed-limit-30--g1,1
20,600,regulatory--maximum-speed-limit-40--g1,
21,600,regulatory--maximum-speed-limit-50--g1,2
22,600,regulatory--maximum-speed-limit-60--g1,3
23,600,regulatory--maximum-speed-limit-70--g1,4
24,600,regulatory--maximum-speed-limit-80--g1,5
25,600,regulatory--maximum-speed-limit-90--g1,
26,600,regulatory--maximum-speed-limit-100--g1,7
27,600,regulatory--maximum-speed-limit-110--g1,
28,600,warrning--turn-left-g1,
29,600,warrning--turn-right-g1,
30,600,warning--stop-ahead-g9,
31,600,warning--two-way-traffic--g2,
32,600,warning--t-roads--g2,
33,600,warning--slippery-road-surface--g2,
34,600,warning--trucks-crossing--g1,
35,600,warning--hairpin-curve-right-g1,
36,600,warning--hairpin-curve-left-g1,
37,600,warning--curve-left--g2,
38,600,warning--curve-right--g2,
39,750,complementary--chevron-left--g1,
40,750,complementary--chevron-right--g1,
41,600,regulatory--no-heavy-goods-vehicles-g4,
42,600,warning--croassroads--g3,
43,600,,
44,600,,
45,600,,
46,600,,
47,600,,
47,600,,
48,600,,
48,600,,
49,600,,
49,600,,
50,750,,
